G	2020 Super Baseball (USA)
C	P1/Team 1 Has Lots of Money	7F80CAFF+7F80CCFF+7F80CBFF
C	P1/Team 1 Has Lots of Money (Improved)	7F80CA63+7F80CC63+7F80CB63
C	Computer/Team 2 Has No Money	7F814C00+7F814B00+7F814A00
C	Strikes Modifier	7FC13600
C	Balls Modifier	7FC13700
C	Outs Modifier	7FC13800
C	P1/Team 1 Score Modifier	7FC13B00
C	Computer/Team 2 Score Modifier	7FC13C00
C	Hit A Homerun	D3E6-E4A4+A9E6-E7D4+87E6-E704+FDE6-E764+56EB-EFA4
C	No Balls	C24F-74D4
C	No Strikes	C249-E7DF+C24A-7F67
C	No Outs	C27E-E704+C24D-7707
G	2020 Super Baseball (USA, Japan) (Action Replay)
C	P1/Team 1 Has Lots of Money	7F80CAFF+7F80CCFF+7F80CBFF
C	P1/Team 1 Has Lots of Money (Improved)	7F80CA63+7F80CC63+7F80CB63
C	Computer/Team 2 Has No Money	7F814C00+7F814B00+7F814A00
G	3 Ninjas Kick Back (USA) (Action Replay)
C	Infinite Time	7E1E6B14
C	Infinite Health	7E0A2A06
C	Invincible	7E0A3019
C	Max Coins	7E1E5B14+7E1E5914
C	Infinite Bombs	7E1E6314+7E1E6514
C	Infinite Lives	7E1E5114
C	Less Enemies To Pass Trials	7E1FE002
C	Have Throwing Weapon	7E0A0909
G	3 Ninjas Kick Back (USA)
C	Infinite Time	7E1E6B14
C	Infinite Health	7E0A2A06
C	Invincible	7E0A3019
C	Max Coins	7E1E5B14+7E1E5914
C	Infinite Bombs	7E1E6314+7E1E6514
C	Infinite Lives	7E1E5114
C	Less Enemies to pass trials	7E1FE002
C	Have Throwing Weapon	7E0A0909
C	Infinite Time	89C8-D76D
C	Infinite Energy	8BA0-6F67
C	Infinite Lives	C235-C768
C	Invincibility	EDEA-1F6B+2DBF-4F6F
C	Jump In Midair	C921-CFAF
C	Skip Intro Screens	9EEF-146D+DDE6-1FAD
C	Infinite Bombs	8BC8-370F
G	3x3 Eyes - Juuma Houkan (Japan) (Action Replay)
C	Infinite Health	7E109664+7E10A764
